variable,mean_error,max_error,std_error,mean_value,std_value,rel_error_pct
ts0270005,0.024464164716885076,0.049894501898704015,0.017279439847935067,0.033447437526471835,0.1296003149981296,73.14211947484172
ts0010002,0.013100054215880591,0.030893861905467057,0.008188934531945245,0.9884674078780177,0.059257702371366704,1.3252894441914882
ts0010003,0.012989876597982182,0.03072061448616939,0.008187619300445963,0.01153259212198221,0.0592577023713667,112.63622662265362
ts0270003,0.008988787920090495,0.017738528554909788,0.00553313118596926,0.15357593710292247,0.0704193714430074,5.852992395590236
ts0270004,0.0077218799895719245,0.015276237886587218,0.005700959167805307,0.13784934349851757,0.06382881641663299,5.6016806417761185
ts0560002,0.007532964259756497,0.025757373465197464,0.00864017801862765,0.950107131512071,0.061004076122273765,0.7928541961123877
ts0390002,0.007326230033048345,0.010605502407494583,0.0025015080303253476,0.9103839263024142,0.029189125485675167,0.8047407056937312
ts0270002,0.006855626649253668,0.013214272869664478,0.004263925480732955,0.5450545266836087,0.11436907854509631,1.2577873063392058
ts0390003,0.006317885230084707,0.009898037822158097,0.0020435110682147256,0.04380641677255401,0.018640697691676002,14.422282614183239
ts0300007,0.006136725443069306,0.010230670192069483,0.0020788984895969437,0.05665086298178738,0.11762357133854535,10.832536558255423
ts0440008,0.006134202111172397,0.014249535625426198,0.004315765010671957,0.007947723422278695,0.024618541922366188,77.18187693820953
ts0560003,0.00584785622540286,0.016615671902411727,0.006200596349091962,0.03783079203727235,0.051795468093814134,15.457927023154387
ts0610005,0.005752235457442078,0.011175720675188551,0.0032266310219698675,0.04315648559932232,0.051564066944252224,13.32878564498404
ts0610003,0.005633908771049736,0.01707926521382548,0.005075595155851644,0.01627648771706904,0.042226228688132604,34.613786886844736
ts0520005,0.0056107392679003295,0.008207259294419289,0.0017986016345736462,0.03565058238034731,0.04406639042456636,15.738141969297248
ts0210005,0.005419270930725981,0.008841324328051101,0.0031688427713444218,0.027898522871664548,0.06502710836801812,19.424938573468793
ts0210007,0.005310513755381124,0.012089655824015826,0.003083025663839481,0.015138839474798814,0.02624132273037155,35.07873747007743
ts0440007,0.005134207037189498,0.016969926094453473,0.005350402478197143,0.007424994705633206,0.02859939692874936,69.14761882987297
ts0660028,0.005122699037527531,0.018639006340401096,0.005530973666863044,0.0501930749682338,0.056564455952956894,10.205987660189349
ts0390004,0.005082614220400732,0.007928617396793215,0.00157866422481672,0.031649163490046595,0.015624418259441967,16.05923714855583
ts0210010,0.0049597057528065445,0.011570091315906542,0.0029672774551460787,0.00982439114781872,0.023069459004141313,50.48359412998059
ts0300005,0.004938203579222058,0.0083424512142099,0.0016473106499986679,0.015583529224904703,0.0405014907963247,31.688608581232703
ts0670007,0.00492136830679793,0.008210353511757529,0.0020762825194548316,0.3362836086404066,0.14248743095924493,1.4634576828454422
ts0540005,0.004807777586016829,0.01369572419410664,0.0040495381096058965,0.009329209021601018,0.028998300034449136,51.53467539300293
ts0540006,0.004769027116332228,0.013695223142561497,0.0040612316122108525,0.009329209021601018,0.028998300034449136,51.11930824242374
ts0400004,0.004764208192056586,0.009346684360504162,0.0026050732019649338,0.06803078144853876,0.03601526631515172,7.0030184728370735
ts0460006,0.004523226186993515,0.014171002439166646,0.004347046767097261,0.035899835874629395,0.11341298408107342,12.599573443147976
ts0460005,0.004378677789740798,0.007180543295470049,0.0015420992407552984,0.08258347628123676,0.12265721974168413,5.302123362825365
ts0610004,0.0043547797192717164,0.010462780756305204,0.0034256476767869116,0.018077599534095722,0.026042419887244685,24.089369338325433
ts0170006,0.004352659684641122,0.00787276406086028,0.0024047676373663376,0.12915006353240152,0.0576535541752664,3.370234257414139
ts0160004,0.004350793260748621,0.008919167969617017,0.0020453807641873066,0.027935938161795855,0.034217199616881154,15.574179880948488
ts0440002,0.004299263928044287,0.008552461629970365,0.0027751515159392236,0.23193287801778906,0.2617057979224031,1.8536673044321625
ts0250003,0.004233971805360583,0.007395929840691774,0.002166159239906754,0.0425320097416349,0.05782945681368839,9.954788948559647
ts0680003,0.004220914310579221,0.009836159015275903,0.0035297515013136722,0.805984678102499,0.08285487555582727,0.5236965943963562
ts0580011,0.004203179138949445,0.009827719428322515,0.003677213434741688,0.1464846198644642,0.05245740053328341,2.8693654957349533
ts0040012,0.004200687441511451,0.012717718832638114,0.003668864239204499,0.013079479034307498,0.022271208984159064,32.116626591113
ts0270017,0.004194471989223623,0.010067924132485966,0.0032706818357744216,0.08742046802202456,0.09870860416342322,4.798043392042782
ts0440005,0.0041663454533260764,0.007892857901633576,0.0025215892928267002,0.1628092757306226,0.24282719040635115,2.5590344497444586
ts0160003,0.004165308999504936,0.01191987572472275,0.003450043492436858,0.09339732634476917,0.08547831899850364,4.459773274589266
ts0380007,0.004106441743180575,0.007020786584127525,0.0020375260841348636,0.7506827827191869,0.07098103557763226,0.5470275644668275
ts0170007,0.0040988624087723545,0.010362616016089302,0.0031450140510651046,0.04546439008894537,0.03300612388245433,9.015544694987538
ts0210008,0.004061125887872439,0.007986158108036455,0.0019699492606459097,0.037574301143583226,0.07219311963167319,10.808253950894787
ts0680002,0.0040293282184647485,0.009276426697351292,0.0033059349419399383,0.19401532189750106,0.08285487555582727,2.0768092844715924
ts0440003,0.004029175495304849,0.008126914498580579,0.002817095405230531,0.31910678208386273,0.24685429630915567,1.2626417617930674
ts0260003,0.00401925573420113,0.008020259981584399,0.002094967288411506,0.6397715427784837,0.1307418631711264,0.628232965277852
ts0030017,0.0040016571580620015,0.006713481413331279,0.0013264274062002354,0.04220393900889454,0.02730363547116435,9.48171486367338
ts007a0006,0.003938973306830212,0.01094492927048292,0.003928459956676124,0.0578803261329945,0.05080181196034341,6.805375107561485
ts0270019,0.003932812046656872,0.00951372357112596,0.0029705513774389786,0.09249473739940704,0.10074539464702756,4.251930604088708
ts0620010,0.00392043612244254,0.013410929423073259,0.004455761934213137,0.06885148771706905,0.07373200996998899,5.694047074992427
ts0210003,0.003912379344978901,0.01359735463885085,0.0037541392369064776,0.009336213468869124,0.040030781488215816,41.90541870132281
ts0210009,0.003867651302029161,0.010087365302136081,0.0031491762739414347,0.023074195256247352,0.04779288614480863,16.761803647223587
ts0210018,0.0038647714279907083,0.005371884880019495,0.0009181585427409438,0.7609081268530283,0.2440446156780412,0.507915646002451
ts0510008,0.0038081483856531083,0.0075913217932495145,0.002082444746521171,0.03728046378653113,0.051387685548127324,10.214863225572142
ts0210017,0.0037611189649974924,0.007163030266046699,0.0020948687652426238,0.8327855887335874,0.20377474871872325,0.45163113001475036
ts0440004,0.003744285289104551,0.007699916828592446,0.0026306523989995615,0.23294694515036002,0.2299391707233675,1.6073553944601984
ts0250005,0.0037152475217835466,0.0068590080910075485,0.0021100744832105367,0.04787245340957221,0.06680394124820961,7.760720951562249
ts0510002,0.003587564655611586,0.011076667524664015,0.003401818906173088,0.010215126005929692,0.03526756365405763,35.12012141141549
ts0300010,0.0035786022338913223,0.006775304831857162,0.0021343907692184996,0.05972515353663702,0.026712029901240636,5.991784067488601
ts0040011,0.003553006983745312,0.00626884296287189,0.001972456064951446,0.05054414443032614,0.0730637960867972,7.029512565284481
ts0630008,0.0035227669044826226,0.004667529932633543,0.0010420503154382934,0.07704929584921644,0.03718573418247685,4.572094872062933
ts0670003,0.003492181393243067,0.00788008519901931,0.00259368226439489,0.09739137018212621,0.03592960684418616,3.585719542411748
ts0150011,0.003466018565498512,0.007822964376644592,0.0019169933832394286,0.02023650465904278,0.02686419185514364,17.127555493876777
ts0520004,0.0034655595433936443,0.004494153242982149,0.0008542320388982821,0.2629169843286743,0.16261372304377622,1.3181193114026157
ts0580006,0.003406997659508523,0.008898236468917596,0.002734156861778776,0.04098711351122406,0.03429566958499477,8.312363003009564
ts0510004,0.0034053387247069845,0.006612983639723402,0.0018276096125830017,0.22766944620923338,0.16390851563493286,1.4957381332484119
ts0510009,0.0033735851220445296,0.005512233282455526,0.0011928422255193705,0.014948602287166456,0.02714989122127315,22.567896698548136
ts0460012,0.0033718612779514486,0.006594817601987671,0.0016897588995821973,0.08566624311732317,0.0374855686712701,3.9360442984917134
ts0040010,0.0033689927127733416,0.008727779013112516,0.0025485605606665215,0.025251688903007198,0.034531219597441626,13.341653010671028
ts0380005,0.0033431542244579115,0.007343731625229499,0.0018310914399426706,0.8199351863617111,0.06872467388557732,0.40773396239920506
ts0580005,0.003325755544446961,0.007342952164736655,0.002509934748108153,0.10591817026683609,0.059788329682134794,3.1399291887959326
ts0260005,0.0033237200309284578,0.004406596301777154,0.0008162899333225974,0.0216469610334604,0.025527888380741097,15.354210809502902
ts007a0009,0.003318780214358181,0.005312524150126258,0.0016341735909615772,0.06604722575180008,0.027077051131395656,5.024859373851489
ts0750004,0.0032478244888238805,0.004529840230941717,0.0012832253325883985,0.3294573432867429,0.11954684680014471,0.985810319607033
ts0670006,0.003219561978246032,0.011173250513019067,0.0036846207162171195,0.16512148983481575,0.05516557949119092,1.949814031757355
ts0510010,0.0031890618334790843,0.006578829110266842,0.0016012047985173362,0.01151177467174926,0.02641474598281005,27.702608193897994
ts0450005,0.0031850986061524476,0.009310420823919514,0.0025620917479578075,0.0930038807708598,0.07123100414095217,3.4246943028106527
ts007a0002,0.003180974547543111,0.005087595566387881,0.001069034972081738,0.05293535578144854,0.025833442300821467,6.009168164801302
ts0460010,0.0031674292367360555,0.008199130343163392,0.0028633127000348454,0.008714188903007201,0.041150615914035335,36.34795242553211
ts0020013,0.003158180758892855,0.006625242507478563,0.0021031296126454192,0.09431160525201186,0.03806752895009898,3.3486661057818057
ts0380002,0.0031433799442674507,0.007289491398483894,0.0019096964871008605,0.1800648136382889,0.06872467388557732,1.7456936092921618
ts0300002,0.0031191166398954057,0.0049156097053693615,0.001413189052027997,0.37589863934773393,0.12244840138613007,0.8297759857039528
ts0030012,0.0031024565881208853,0.012122768223813543,0.0037883447400793567,0.062071511012282934,0.041329266197642905,4.998197301024233
ts0020014,0.003099940569905542,0.00661685888021088,0.0021222147295684693,0.0940592016094875,0.03802176543331292,3.295733449637169
ts0110005,0.0030740735278510577,0.00652280420200391,0.0020090150438511496,0.03754959233375688,0.03792045103752219,8.186702802329712
ts0580007,0.003021590281539494,0.0064365828660878435,0.0020947403842498393,0.017230548496399833,0.0189442389117814,17.536239674383136
ts0610010,0.003013345458873718,0.004793036804265245,0.00131137854862913,0.02036310885218128,0.022967460137158967,14.798061930268227
ts0030008,0.002982964143005448,0.006282681819476325,0.0020094531520731223,0.10459865523083439,0.04864170601153263,2.8518188273285823
ts0510007,0.002977304645350985,0.005929428219401182,0.0015130447105348973,0.08771511012282932,0.09147081733828995,3.3942893546867836
ts0300006,0.0029731415801000317,0.006028014375138746,0.0026041671269358886,0.004362335874629394,0.0272635096972906,68.15480663447579
ts0440009,0.0029706627916830687,0.011449999675611004,0.0037740410360129597,0.004116349004659043,0.03442986263664255,72.16741797939771
ts0460004,0.002966785794072306,0.008781217952521202,0.002594585313645421,0.010521341592545532,0.03197178746333007,28.197789872864703
ts0440006,0.002964311357620204,0.008761313847996373,0.002545994528889442,0.03370988458280389,0.08590778849540945,8.793596876129207
ts0380003,0.0029406284784897737,0.005214810074901918,0.001628451530156286,0.07724779224904703,0.04544323997518353,3.8067476012896027
ts0610011,0.002940168174239851,0.012623733975670556,0.0037667855559842035,0.07874833227445997,0.06021637024232265,3.7336259566647607
ts0620008,0.002929155581114175,0.0054121509016081815,0.0014368619660554201,0.12335080474375265,0.0670353717080128,2.3746546179404056
ts0530005,0.0028647820816267407,0.005613968614659376,0.0015371047020086817,0.051573305802626,0.06102455237185043,5.554776908407668
ts0190004,0.0028225299092657277,0.005783084509652772,0.0019813232638405797,0.09263702350698858,0.06370766270538428,3.046870249509684
ts0030016,0.002819401975404499,0.0062003620605345505,0.0019521901942611028,0.06915638500635325,0.0541349257972432,4.076849845672943
ts0230003,0.002817294733691633,0.008335728250656704,0.0023813959198462887,0.5985514294790343,0.13041624274742392,0.4706854908263678
ts0210006,0.002816133045110937,0.0053886465633457385,0.0013073215074262468,0.02233417513765354,0.07130280087623452,12.609075677763329
ts0590003,0.0028015824737136485,0.005855701051032572,0.0013099144817214545,0.10462343286742905,0.04441313750694829,2.6777772406527736
ts0030013,0.002794924109745255,0.010608218155657247,0.0030980597754837226,0.045005368487928854,0.029274730670226866,6.210201590716665
ts0660031,0.0027891264981536783,0.006317251190032035,0.001852455698794149,0.0307723845828039,0.025340379625070554,9.063732096056953
ts007a0008,0.002770019421439779,0.0052285322741273815,0.0019116173340019006,0.06930295425667089,0.03616609367534286,3.996971631513307
ts0050015,0.0027542622434034852,0.006220204212948964,0.001763816371592875,0.014093546166878442,0.02028854770894685,19.542719843472316
ts0620004,0.0027290092371490236,0.008275970632379698,0.0028307657326959,0.11502242164337144,0.035444013210127766,2.3725889249753003
ts0030010,0.0027132612324466295,0.007823653156802786,0.0021519490052874474,0.05710111181702669,0.03444380212426673,4.751678463181125
ts0210025,0.0026954250807148215,0.004813221065814742,0.001535339910393401,0.014531861499364676,0.023690658662011133,18.54838129879413
ts007a0019,0.002660690129794396,0.006624470489401478,0.0019330710850896083,0.025781750317662014,0.027216259125575643,10.320052351029352
ts0660027,0.0026553122977547514,0.010313491612832654,0.0030764814114134197,0.22160988458280392,0.12248803269137318,1.198192175747739
ts0290004,0.002653764184645276,0.007186482057646354,0.002160493637718835,0.0373653695468022,0.04424846319563255,7.102202431910351
ts0160005,0.0026456536162731605,0.0074339970454203735,0.0021151953766197712,0.021335149301143583,0.031061557784571023,12.400445757046336
ts0190003,0.0026297997031526042,0.00634946589239619,0.0024448870386446814,0.005274311732316815,0.02049207464564689,49.86052847500972
ts0050023,0.002624193216241923,0.007033188800896831,0.0018354256679320594,0.016494626217704363,0.03231602088432858,15.909382738393116
ts0660005,0.0026222102222166633,0.005951728218293512,0.002075872033314716,0.11954474269377383,0.03289299468048111,2.1934968975873117
ts0630005,0.0026165154765839752,0.0054953314245111545,0.0014232625323581738,0.09223490046590427,0.03380290969108131,2.8367954682741825
ts0210022,0.0025922317915080236,0.00464656093805256,0.0013266806762090172,0.06049690279542567,0.06725783515936772,4.284900005995066
ts0210024,0.0025785806361014432,0.006834689915550085,0.0019286287762395981,0.005277509529860229,0.015346349690020935,48.859800659985446
ts0580002,0.0025763243173965063,0.008990023585883064,0.0025992100418905316,0.11254389559508682,0.08122487164096243,2.28917286341826
ts0400002,0.002568972370591241,0.005754950269283299,0.001661826768711673,0.6753492905548496,0.09379430499838548,0.38039165903034255
ts0510005,0.002568733669213275,0.00465479377532782,0.0010032019400494688,0.2796401842439644,0.17137013870101606,0.918585315682761
ts0500002,0.002553652167471983,0.004526516431132596,0.0014826473408122711,0.1116953462515883,0.1423470506555268,2.286265500909954
ts007a0007,0.002491335910245777,0.008976226322710695,0.0032465552173484347,0.06533079203727235,0.04068036017238348,3.813417582362122
ts0540011,0.002480583558589298,0.006401323275132598,0.002155081153426012,0.1776636912325286,0.14986656777024,1.3962242602190884
ts0380006,0.002470878082088494,0.006438450335066834,0.0021287766207057726,0.06924768636171114,0.023149491779566385,3.5681742046687464
ts0620002,0.002462036115100843,0.0051271666238414115,0.0016068787526136836,0.1303436679373147,0.08414525118233515,1.8888804911373933
ts0150012,0.002456094966871175,0.006991026331900477,0.0019937508969560883,0.02310032295637442,0.034979163302211375,10.632297096060416
ts0540007,0.0024550806655124395,0.006666641676650487,0.001955904167099385,0.17129832168572637,0.20615196744950012,1.4332193341722694
ts007a0005,0.002438583512593782,0.005469631024358344,0.0021528101188280635,0.0529977128335451,0.032176432029329925,4.601299532024845
ts0030021,0.002431818585016605,0.005979031694380368,0.0018257318609724658,0.02695443667937315,0.02981312016850089,9.021960332332048
ts0620007,0.0024109318386816778,0.004753865946422922,0.0012708927088866033,0.11618135853451926,0.04570911934286333,2.0751451601982716
ts0660006,0.002403474084477053,0.006297774980858373,0.0022406964569685445,0.3425135059296908,0.10041621865142847,0.7017165871907032
ts0630007,0.002372375287993728,0.0078054405752078365,0.002337548089331123,0.09694416031342652,0.04415089574983283,2.4471564664892558
ts0540012,0.0023712608125925775,0.0056226428530433,0.0018206785953253641,0.022780532613299452,0.0328637050900942,10.409154398823041
ts0300008,0.002337340415299697,0.004406355774365428,0.001066303152363071,0.0077626376535366364,0.02906725651865327,30.110131628194843
ts0030009,0.0023229462906412847,0.005513550802769773,0.0014677497878761046,0.14338001376535364,0.07474651890975026,1.6201325621595117
ts0580008,0.0023217776129997652,0.003954888793276493,0.0014738616956084453,0.013078515459551037,0.015884088813176697,17.75260823891298
ts0150013,0.0023154138998269713,0.006803080911180703,0.002260090860983247,0.010452832486234645,0.022938973739179726,22.15106673598897
ts0510003,0.0023044162989841604,0.005220150665207091,0.0018646314373533708,0.09616014400677679,0.1287776923101705,2.396435989968733
ts0750005,0.0023037481713780814,0.004700198097662506,0.001393787501040976,0.20307646653960185,0.08438128723168502,1.1344239983261815
ts0630004,0.002288593803471378,0.0049559875942843945,0.0017867697771241729,0.12818057496823382,0.046876512006501524,1.7854451066696697
ts0270006,0.002288419184330608,0.0049184237010751215,0.0017288365034286604,0.005863013553578992,0.01983416515524971,39.0314496703436
ts007a0011,0.002272645440126623,0.005135972297695697,0.0015044822530404034,0.06338661054637865,0.02015895772254565,3.5853714539031487
ts0610009,0.002260004918531506,0.003666187377836052,0.000752606186457781,0.04042530177890725,0.030280359377576227,5.590570308891821
ts0030007,0.002251297422908822,0.0041760274920083496,0.0012595408568343396,0.3050937950021178,0.111964132917692,0.7379033791536778
ts0540009,0.0022178320119945146,0.0054219956340316455,0.0014223804926856089,0.08667988670055062,0.1319090791692299,2.558646643893717
ts0020017,0.002215745158800767,0.0040965364718579915,0.0013767993535395684,0.06269952880135536,0.03940066756633913,3.5339103836341272
ts0020016,0.002197599023067238,0.004108068249852957,0.0013870706159963522,0.06278915184243965,0.03941306649145865,3.4999660906103602
ts0620003,0.002190856868377368,0.00483554973683481,0.001201542193508991,0.19967573591698431,0.06549509288407639,1.0972073588792093
ts0670005,0.002176811562339929,0.003868261277909825,0.0011304102646981305,0.054256792672596366,0.0249832169360511,4.012053523833481
ts0030006,0.0021394321562829607,0.0036029440934021092,0.0011000372334377105,0.09279491740787801,0.07097410788499904,2.3055488555252803
ts0400003,0.0021317064726057225,0.003547216869473069,0.0009460651645415094,0.25661197056332063,0.07503393733182218,0.8307120154707321
ts0630002,0.0020880721025823314,0.003959463571677174,0.001243623929946223,0.12512702774248202,0.06604346306781447,1.668761849661844
ts0370004,0.0020725265644877568,0.003846535069173068,0.0012489550965651488,0.1308551461245235,0.046365802435195315,1.58383267748256
ts0170010,0.0020443396287890886,0.011054076809909961,0.003590118723370416,0.004083439220669208,0.014511098508852465,50.06416205342846
ts0040004,0.0020368778007623764,0.003510782242632092,0.0007779530082357813,0.059836896442185525,0.05974640463582629,3.404049878707212
ts0160006,0.0020172026671704812,0.006468396796243482,0.0020213068523745573,0.01759770224481152,0.033078401884584205,11.462875318084382
ts0660026,0.0020032381830476717,0.004941239915911777,0.0013147407287327259,0.3937322003388395,0.1120841240926433,0.5087819033657186
ts0270007,0.0019964602639691706,0.005892699361290898,0.0016381926171579555,0.012229177255400252,0.02000447175535772,16.325384956600892
ts0750003,0.0019681841558030167,0.004115358313751202,0.0011023927704765226,0.018609715163066497,0.014072876068646403,10.576111125597157
ts0050019,0.001963413767776921,0.004253630147707629,0.0011545132860625387,0.006031792672596358,0.011387046276471293,32.55108181514764
ts0270020,0.0018893723798330906,0.003748862732054865,0.001305533693551798,0.01947006035578145,0.019780300336547745,9.703988304648782
ts0020004,0.0018808273931108163,0.0027763001151562827,0.0004943302555607138,0.44269881935620503,0.13334875086157738,0.4248548473307452
ts0210012,0.0018783755763890086,0.0033933153802698304,0.0011575404237898046,0.028008868064379504,0.02528906743682013,6.706360185893578
ts007a0010,0.001875010942210007,0.006583277957114081,0.0023877229249549712,0.062232110334603984,0.0217555861609284,3.012931639516349
ts0230006,0.0018513634406261217,0.0055224354863166805,0.001600179435418822,0.026454119017365524,0.03644248777946621,6.998393858479332
ts0050002,0.0018389556362607556,0.0049010099640240945,0.0013112172977317012,0.8328747193985598,0.08319600777541701,0.22079618860189593
ts0030022,0.0018367519539759856,0.004235711569511816,0.0010861790379547024,0.04185899512918255,0.05007437168238579,4.387950423337969
ts0030005,0.0018365982706569223,0.005230995914176806,0.0014788308585451343,0.631363940067768,0.12400106949294042,0.29089375463219985
ts0560004,0.0018314317559153344,0.008939561853786353,0.0027782570020937944,0.012057925667090217,0.019122256372503685,15.188613750654262
ts0270018,0.0018182791107325016,0.0037120071912409933,0.0013063507974496332,0.018425031766200764,0.019133068058459463,9.868526327688553
ts0660014,0.0018150659760825605,0.005952438451932433,0.0017034277516436859,0.021209392206692077,0.023157400982491555,8.557840594365846
ts0150009,0.0018001676344840231,0.0037900227640239384,0.0010670172855297155,0.04285592969080898,0.044033787981221546,4.200510051868255
ts0020005,0.0017816385963073111,0.0027211946843817003,0.00044909160826191337,0.43990242481999153,0.13378696401349016,0.40500767801776927
ts0210002,0.001768616375993565,0.004958131860005814,0.0013418042534770538,0.08181295002117747,0.13588641087125353,2.161780470617127
ts0620006,0.0017578740053678533,0.0037766699414216523,0.0010590371530386214,0.05488319567979671,0.02379159269595505,3.20293667960547
ts0590005,0.0017552525310441658,0.003222673102033058,0.0008049921494595354,0.695392328462516,0.07330603001617401,0.25241183418358343
ts0670004,0.0017536270407790197,0.004418861529190382,0.0010333662107607727,0.13452166984328676,0.038433248542090744,1.303601897613921
ts0540010,0.001737897184762395,0.004284854633635371,0.0013078374865306897,0.2004457115628971,0.15735729516962313,0.867016396216123
ts0450004,0.0017113972767618113,0.006506718404590148,0.0019191712056877144,0.26224800402371873,0.12679407813095034,0.6525873411822138
ts0040005,0.0017103105061794831,0.0038243935072632407,0.0010683469964363882,0.027145213892418467,0.03098496283973227,6.30059690433003
ts0020002,0.0017035576930575329,0.005294364864175949,0.0015862338922702167,0.37513169737399404,0.13401504272473122,0.45412256681661894
ts0290002,0.001701619311650887,0.002922443565829269,0.0006108488096526279,0.9163625635324014,0.10066634046649531,0.1856928010122404
ts0630010,0.0016736921036339097,0.004994672971412956,0.0014668779146451375,0.10859703515459551,0.06664761584975178,1.5411950254915259
ts0190002,0.0016669973824643969,0.00474777812574656,0.0016710219517848273,0.8934392577297755,0.0835019571707055,0.18658206118009954
ts0210004,0.001651802188342408,0.0026228579929218664,0.0007092296613107115,0.0070986181702668355,0.01637684718371873,23.269348325581475
ts0210023,0.001645123949537146,0.004531179889112887,0.0013396997077062616,0.019809455739093606,0.03223065671945184,8.304740782405865
ts0460003,0.0016397525113029665,0.003577157958654542,0.0011685881217421842,0.7398459921643372,0.21794999697650538,0.22163430344551205
ts0190005,0.0016152367176333485,0.005205428500311159,0.0014353832152889732,0.008644742693773825,0.016778192781203183,18.68461300527412
ts0170005,0.001611996966186328,0.004643555139092842,0.001317339303397755,0.1599624947056332,0.051768892853881025,1.0077343249445836
ts0290006,0.001590761615968015,0.004665343354174192,0.0013725071250125975,0.014020621558661584,0.023234917154166288,11.345870861090912
