MSOA21CD,n_oas,n_diff,disagree_pct
E02000655,32,1,3.125
E02000657,31,4,12.903225806451612
E02000658,25,4,16.0
E02000659,26,3,11.538461538461538
E02000660,29,6,20.689655172413794
E02000661,23,6,26.08695652173913
E02000662,25,5,20.0
E02000663,23,4,17.391304347826086
E02000665,23,1,4.3478260869565215
E02000666,21,5,23.809523809523807
E02000667,20,3,15.0
E02000668,21,4,19.047619047619047
E02000669,26,4,15.384615384615385
E02000670,22,4,18.181818181818183
E02000671,26,4,15.384615384615385
E02000672,31,6,19.35483870967742
E02000673,27,9,33.33333333333333
E02000674,24,3,12.5
E02000675,26,2,7.6923076923076925
E02000676,24,2,8.333333333333332
E02000677,20,7,35.0
E02000678,20,3,15.0
E02000679,27,5,18.51851851851852
E02000680,25,4,16.0
E02000681,25,3,12.0
E02000682,25,5,20.0
E02000683,23,5,21.73913043478261
E02000685,28,2,7.142857142857142
E02000686,23,1,4.3478260869565215
E02000687,26,3,11.538461538461538
E02000689,28,3,10.714285714285714
E02000690,20,0,0.0
E02000691,25,7,28.000000000000004
E02000692,31,7,22.58064516129032
E02000693,32,7,21.875
E02000694,32,8,25.0
E02000695,23,2,8.695652173913043
E02000696,26,2,7.6923076923076925
E02000697,29,5,17.24137931034483
E02000698,26,2,7.6923076923076925
E02000699,27,1,3.7037037037037033
E02000700,27,2,7.4074074074074066
E02000701,26,2,7.6923076923076925
E02000702,27,4,14.814814814814813
E02000703,24,3,12.5
E02000704,29,6,20.689655172413794
E02000705,25,0,0.0
E02000706,27,0,0.0
E02000707,22,2,9.090909090909092
E02000708,25,2,8.0
E02000709,23,4,17.391304347826086
E02000710,25,2,8.0
E02000711,27,4,14.814814814814813
E02000712,26,4,15.384615384615385
E02000713,22,7,31.818181818181817
E02000714,22,4,18.181818181818183
E02000715,18,0,0.0
E02000716,17,1,5.88235294117647
E02000717,19,1,5.263157894736842
E02000718,17,2,11.76470588235294
E02000719,21,6,28.57142857142857
E02000720,19,0,0.0
E02000721,23,4,17.391304347826086
E02000722,25,2,8.0
E02000723,25,0,0.0
E02000724,24,0,0.0
E02000725,32,2,6.25
E02000727,20,0,0.0
E02000728,22,0,0.0
E02000729,20,0,0.0
E02000730,23,0,0.0
E02000731,23,1,4.3478260869565215
E02000732,24,0,0.0
E02000733,28,2,7.142857142857142
E02000734,19,3,15.789473684210526
E02000735,21,0,0.0
E02000736,24,0,0.0
E02000737,25,0,0.0
E02000738,24,0,0.0
E02000739,21,0,0.0
E02000740,19,1,5.263157894736842
E02000741,21,0,0.0
