Cluster,PCA_RMSE,AE_RMSE,PCA_Corr,AE_Corr
0,0.00015427151280918004,0.0022804626196481093,0.9999997849510066,0.9999543650719374
1,0.000390752275909481,0.0027430832786787384,0.9999978577384069,0.9999008055972549
2,0.00023048460592874924,0.0035379770004932104,0.9999994212779302,0.999864186142737
3,0.00037931497683876163,0.0038969589585266806,0.999998358800772,0.9998583237472054
4,0.0002452894825857815,0.00280973666634321,0.999999429841625,0.9999257741100495
5,0.00016181018254213326,0.005127569871676095,0.9999997508506225,0.9996643556119681
6,0.0002489016880803328,0.0032395431199793534,0.9999993284910599,0.9998878422558147
7,0.00035273667864708555,0.003651411526947876,0.9999983310892602,0.9998583282801964
